Alkene+Phenol,Unknown,Low,Low,Medium,0.69,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Low,Low,Medium,0.93,Seen,Rule-consistent known chemical class,Yes
Acid Chloride+Nitrile,Unknown,Medium,Low,Low,0.54,Novel,Predicted theoretical compound,No
Ether+Sulfonamide,Unknown,Medium,Medium,Medium,0.61,Novel,Predicted theoretical compound,No
Amine+Halide,Unknown,High,Medium,Medium,0.64,Novel,Predicted theoretical compound,No
Aldehyde+Sulfonamide,Unknown,Medium,Medium,Medium,0.44,Novel,Predicted theoretical compound,No
Aldehyde+Carboxylic Acid+Ester,Unknown,Low,High,Medium,0.69,Novel,Predicted theoretical compound,No
Aromatic Ring+Heterocycle+Sulfide,Unknown,Medium,Low,High,0.49,Novel,Predicted theoretical compound,No
Aldehyde+Carboxylic Acid,Unknown,Low,High,Medium,0.53,Novel,Predicted theoretical compound,No
Ester,Unknown,Low,Medium,Medium,0.58,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Low,Medium,0.89,Seen,Rule-consistent known chemical class,Yes
Alkene+Heterocycle+Ketone,Unknown,Medium,Low,Medium,0.63,Novel,Predicted theoretical compound,No
Ester,Unknown,Medium,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Aldehyde+Alkyne+Aromatic Ring,Unknown,Medium,Low,High,0.57,Novel,Predicted theoretical compound,No
Acid Chloride+Ether+Halide,Unknown,High,Low,Low,0.63,Novel,Predicted theoretical compound,No
Alkyne+Amide+Carboxylic Acid,Unknown,Low,High,High,0.65,Novel,Predicted theoretical compound,No
Acid Chloride+Alkene+Amine,Unknown,Low,Medium,Low,0.48,Novel,Predicted theoretical compound,No
Amine+Aromatic Ring,Unknown,Medium,Low,High,0.54,Novel,Predicted theoretical compound,No
Ether+Phenol,Unknown,Medium,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Acid Chloride+Aromatic Ring+Sulfide,Unknown,Medium,Low,Low,0.54,Novel,Predicted theoretical compound,No
Amide+Ester+Ether,Unknown,Low,High,High,0.65,Novel,Predicted theoretical compound,No
Amine+Thiol,Unknown,Medium,Medium,Medium,0.68,Novel,Predicted theoretical compound,No
Amine+Nitro+Phenol,Unknown,High,Low,Medium,0.67,Novel,Predicted theoretical compound,No
Amide,Unknown,Medium,High,High,0.67,Novel,Predicted theoretical compound,No
Ketone+Thiol,Unknown,Medium,Low,Medium,0.68,Novel,Predicted theoretical compound,No
Alkyne+Sulfonamide,Unknown,Low,Low,Medium,0.4,Novel,Predicted theoretical compound,No
Alkene,Alkene,Low,Low,Medium,0.85,Seen,Rule-consistent known chemical class,Yes
Ester+Sulfonamide+Thiol,Unknown,Medium,Low,Medium,0.45,Novel,Predicted theoretical compound,No
Acid Chloride+Ketone+Nitrile,Unknown,Medium,Medium,Low,0.53,Novel,Predicted theoretical compound,No
Aldehyde+Amide,Unknown,Low,High,High,0.53,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.67,Novel,Predicted theoretical compound,No
Carboxylic Acid+Sulfonamide,Unknown,Medium,High,Medium,0.64,Novel,Predicted theoretical compound,No
Phenol+Sulfide,Unknown,Medium,Medium,Medium,0.59,Novel,Predicted theoretical compound,No
Alkene+Heterocycle,Unknown,Medium,Medium,Medium,0.58,Novel,Predicted theoretical compound,No
Heterocycle+Thiol,Unknown,Medium,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Acid Chloride+Nitrile,Unknown,Medium,Low,Low,0.61,Novel,Predicted theoretical compound,No
Ketone,Unknown,Low,Medium,Medium,0.4,Novel,Predicted theoretical compound,No
Amide+Sulfide,Unknown,Medium,High,High,0.42,Novel,Predicted theoretical compound,No
Alkene+Aromatic Ring+Ketone,Unknown,Low,Low,High,0.67,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Low,Medium,0.9,Seen,Rule-consistent known chemical class,Yes
Ketone+Sulfide,Unknown,Medium,Medium,Medium,0.41,Novel,Predicted theoretical compound,No
Aldehyde+Amide+Ketone,Unknown,Low,High,High,0.58,Novel,Predicted theoretical compound,No
Alkene,Alkene,Low,Low,Medium,0.88,Seen,Rule-consistent known chemical class,Yes
Nitro,Unknown,High,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Alkene+Alkyne+Thiol,Unknown,Medium,Low,Medium,0.65,Novel,Predicted theoretical compound,No
Alcohol,Ether,Medium,Medium,Medium,0.9,Seen,Rule-consistent known chemical class,Yes
Nitrile+Nitro+Sulfide,Unknown,Medium,Low,Medium,0.62,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Low,Medium,0.82,Seen,Rule-consistent known chemical class,Yes
Ether+Halide+Thiol,Unknown,High,Low,Medium,0.53,Novel,Predicted theoretical compound,No
Alkene+Alkyne+Ketone,Unknown,Low,Medium,Medium,0.49,Novel,Predicted theoretical compound,No
Aldehyde+Ketone+Sulfonamide,Unknown,Low,Medium,Medium,0.65,Novel,Predicted theoretical compound,No
Acid Chloride+Nitrile,Unknown,Medium,Low,Low,0.51,Novel,Predicted theoretical compound,No
Amide+Amine+Ester,Unknown,Medium,High,Medium,0.41,Novel,Predicted theoretical compound,No
Aldehyde+Alkene+Ether,Unknown,Medium,Medium,Medium,0.43,Novel,Predicted theoretical compound,No
Heterocycle+Ketone,Unknown,Medium,Medium,Medium,0.65,Novel,Predicted theoretical compound,No
Amide+Ketone,Unknown,Low,High,High,0.52,Novel,Predicted theoretical compound,No
Amide+Sulfide,Unknown,Medium,High,High,0.58,Novel,Predicted theoretical compound,No
Ester+Nitrile+Sulfonamide,Unknown,Medium,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Ester,Unknown,Low,Medium,Medium,0.61,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Medium,Medium,0.81,Seen,Rule-consistent known chemical class,Yes
Aldehyde+Sulfonamide,Unknown,Medium,Low,Medium,0.62,Novel,Predicted theoretical compound,No
Alkene+Sulfonamide+Thiol,Unknown,Medium,Medium,Medium,0.58,Novel,Predicted theoretical compound,No
Alkyne,Alkyne,Low,Medium,Medium,0.92,Seen,Rule-consistent known chemical class,Yes
Alkyne+Amine,Unknown,Medium,Medium,Medium,0.52,Novel,Predicted theoretical compound,No
Ether+Halide,Unknown,High,Medium,Medium,0.52,Novel,Predicted theoretical compound,No
Alcohol+Alkene+Sulfide,Unknown,Medium,Medium,Medium,0.66,Novel,Predicted theoretical compound,No
Aromatic Ring+Phenol+Thiol,Unknown,Medium,Low,High,0.41,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.65,Novel,Predicted theoretical compound,No
Amide+Aromatic Ring+Thiol,Unknown,Medium,High,High,0.55,Novel,Predicted theoretical compound,No
Heterocycle+Ketone,Unknown,Low,Medium,Medium,0.41,Novel,Predicted theoretical compound,No
Amine+Ester+Nitro,Unknown,High,Low,Medium,0.68,Novel,Predicted theoretical compound,No
Ketone+Nitro,Unknown,High,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Aldehyde+Nitrile,Unknown,Medium,Low,Medium,0.57,Novel,Predicted theoretical compound,No
Halide+Thiol,Unknown,High,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Heterocycle+Nitro,Unknown,High,Low,Medium,0.48,Novel,Predicted theoretical compound,No
Sulfonamide,Unknown,Low,Medium,Medium,0.66,Novel,Predicted theoretical compound,No
Alkene+Ester,Unknown,Low,Low,Medium,0.65,Novel,Predicted theoretical compound,No
Alcohol+Alkene+Ketone,Unknown,Medium,Low,Medium,0.67,Novel,Predicted theoretical compound,No
Aromatic Ring+Carboxylic Acid+Ester,Unknown,Low,Low,High,0.51,Novel,Predicted theoretical compound,No
Alcohol+Thiol,Unknown,Medium,Medium,Medium,0.6,Novel,Predicted theoretical compound,No
Acid Chloride+Amine+Carboxylic Acid,Unknown,Medium,High,Low,0.51,Novel,Predicted theoretical compound,No
Nitro+Thiol,Unknown,Medium,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Medium,Medium,Medium,0.8,Seen,Rule-consistent known chemical class,Yes
Alcohol,Ether,Low,Low,Medium,0.91,Seen,Rule-consistent known chemical class,Yes
Thiol,Thiol Compound,Medium,Medium,Medium,0.94,Seen,Rule-consistent known chemical class,Yes
Nitro,Unknown,High,Low,Medium,0.48,Novel,Predicted theoretical compound,No
Halide,Unknown,High,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Amide+Sulfide,Unknown,Medium,High,High,0.63,Novel,Predicted theoretical compound,No
Acid Chloride+Alcohol,Unknown,Low,Medium,Low,0.69,Novel,Predicted theoretical compound,No
Alcohol+Alkene+Halide,Unknown,High,Medium,Medium,0.41,Novel,Predicted theoretical compound,No
Acid Chloride+Nitro,Unknown,High,Low,Low,0.61,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Low,Low,High,0.86,Seen,Rule-consistent known chemical class,Yes
Alkene+Amine,Unknown,Low,Low,Medium,0.62,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Medium,Medium,0.82,Seen,Rule-consistent known chemical class,Yes
Ether,Unknown,Medium,Medium,Medium,0.49,Novel,Predicted theoretical compound,No
Acid Chloride+Sulfide+Thiol,Unknown,Medium,Low,Low,0.45,Novel,Predicted theoretical compound,No
Ether+Thiol,Unknown,Medium,Medium,Medium,0.67,Novel,Predicted theoretical compound,No
Ether+Sulfide+Thiol,Unknown,Medium,Medium,Medium,0.52,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Medium,Low,High,0.84,Seen,Rule-consistent known chemical class,Yes
Ketone+Thiol,Unknown,Medium,Low,Medium,0.67,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Medium,Low,Low,0.82,Seen,Rule-consistent known chemical class,Yes
Nitro+Thiol,Unknown,High,Low,Medium,0.69,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Low,Medium,0.78,Seen,Rule-consistent known chemical class,Yes
Aldehyde+Nitrile,Unknown,Medium,Low,Medium,0.69,Novel,Predicted theoretical compound,No
Alkene,Alkene,Low,Medium,Medium,0.93,Seen,Rule-consistent known chemical class,Yes
Amide+Nitrile,Unknown,Medium,High,High,0.62,Novel,Predicted theoretical compound,No
Alkyne+Carboxylic Acid+Nitro,Unknown,High,High,Medium,0.57,Novel,Predicted theoretical compound,No
Nitrile+Sulfonamide,Unknown,Medium,Low,Medium,0.5,Novel,Predicted theoretical compound,No
Alkene+Sulfide,Unknown,Medium,Medium,Medium,0.54,Novel,Predicted theoretical compound,No
Ether,Unknown,Medium,Medium,Medium,0.67,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Low,Low,Medium,0.82,Seen,Rule-consistent known chemical class,Yes
Alkene+Ether+Nitrile,Unknown,Medium,Low,Medium,0.55,Novel,Predicted theoretical compound,No
Aromatic Ring+Carboxylic Acid,Unknown,Low,High,High,0.54,Novel,Predicted theoretical compound,No
Alcohol+Ketone,Unknown,Medium,Medium,Medium,0.46,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Low,Medium,Low,0.86,Seen,Rule-consistent known chemical class,Yes
Alcohol+Nitrile,Unknown,Medium,Low,Medium,0.44,Novel,Predicted theoretical compound,No
Sulfide+Sulfonamide,Unknown,Medium,Medium,Medium,0.45,Novel,Predicted theoretical compound,No
Alcohol+Sulfonamide+Thiol,Unknown,Medium,Medium,Medium,0.49,Novel,Predicted theoretical compound,No
Ether+Thiol,Unknown,Medium,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Ketone+Sulfide+Thiol,Unknown,Medium,Medium,Medium,0.4,Novel,Predicted theoretical compound,No
Aldehyde+Alkene+Nitrile,Unknown,Medium,Medium,Medium,0.64,Novel,Predicted theoretical compound,No
Nitrile+Nitro,Unknown,High,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Alcohol,Ether,Medium,Low,Medium,0.94,Seen,Rule-consistent known chemical class,Yes
Aldehyde,Unknown,Medium,Medium,Medium,0.68,Novel,Predicted theoretical compound,No
Ketone,Unknown,Medium,Medium,Medium,0.42,Novel,Predicted theoretical compound,No
Alkyne+Amine,Unknown,Medium,Medium,Medium,0.46,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.5,Novel,Predicted theoretical compound,No
Acid Chloride+Alcohol+Alkyne,Unknown,Low,Low,Low,0.41,Novel,Predicted theoretical compound,No
Amine+Nitrile+Phenol,Unknown,Medium,Low,Medium,0.65,Novel,Predicted theoretical compound,No
Aromatic Ring+Ether+Phenol,Unknown,Medium,Low,High,0.65,Novel,Predicted theoretical compound,No
Aldehyde+Alkene+Ether,Unknown,Medium,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Amide+Phenol+Sulfide,Unknown,Medium,High,High,0.49,Novel,Predicted theoretical compound,No
Aldehyde+Thiol,Unknown,Medium,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Alkene,Alkene,Low,Medium,Medium,0.91,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring+Ester+Sulfonamide,Unknown,Medium,Low,Medium,0.63,Novel,Predicted theoretical compound,No
Amine+Carboxylic Acid+Sulfide,Unknown,Medium,High,Medium,0.63,Novel,Predicted theoretical compound,No
Aldehyde,Unknown,Medium,Medium,Medium,0.42,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Heterocycle+Nitro,Unknown,High,Low,Medium,0.61,Novel,Predicted theoretical compound,No
Alkyne+Carboxylic Acid+Ketone,Unknown,Low,High,Medium,0.69,Novel,Predicted theoretical compound,No
Halide+Nitro,Unknown,High,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Ester+Phenol,Unknown,Low,Low,Medium,0.42,Novel,Predicted theoretical compound,No
Acid Chloride+Ester+Heterocycle,Unknown,Low,Low,Low,0.62,Novel,Predicted theoretical compound,No
Nitrile+Phenol,Unknown,Medium,Medium,Medium,0.59,Novel,Predicted theoretical compound,No
Alkene+Ether+Heterocycle,Unknown,Medium,Low,Medium,0.64,Novel,Predicted theoretical compound,No
Ether,Unknown,Low,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Amine+Thiol,Unknown,Medium,Low,Medium,0.57,Novel,Predicted theoretical compound,No
Aldehyde+Ester,Unknown,Medium,Medium,Medium,0.62,Novel,Predicted theoretical compound,No
Phenol+Sulfide+Sulfonamide,Unknown,Medium,Medium,Medium,0.61,Novel,Predicted theoretical compound,No
Amine,Unknown,Medium,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Alcohol+Sulfide,Unknown,Medium,Medium,Medium,0.65,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Medium,Medium,Medium,0.84,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring+Phenol,Unknown,Low,Low,High,0.66,Novel,Predicted theoretical compound,No
Acid Chloride+Halide,Unknown,High,Low,Low,0.52,Novel,Predicted theoretical compound,No
Acid Chloride+Nitro+Sulfonamide,Unknown,High,Low,Low,0.65,Novel,Predicted theoretical compound,No
Ether,Unknown,Medium,Low,Medium,0.44,Novel,Predicted theoretical compound,No
Amide+Aromatic Ring+Ketone,Unknown,Medium,Low,High,0.5,Novel,Predicted theoretical compound,No
Acid Chloride+Halide,Unknown,High,Medium,Low,0.65,Novel,Predicted theoretical compound,No
Aldehyde,Unknown,Medium,Low,Medium,0.65,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Low,Medium,Low,0.93,Seen,Rule-consistent known chemical class,Yes
Heterocycle+Sulfide,Unknown,Medium,Medium,Medium,0.54,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Medium,Medium,0.77,Seen,Rule-consistent known chemical class,Yes
Phenol+Sulfonamide,Unknown,Low,Medium,Medium,0.65,Novel,Predicted theoretical compound,No
Alcohol+Alkyne+Ether,Unknown,Low,Low,Medium,0.55,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Low,Medium,0.91,Seen,Rule-consistent known chemical class,Yes
Nitro,Unknown,High,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Alcohol+Alkyne+Nitro,Unknown,High,Low,Medium,0.4,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Medium,Low,High,0.81,Seen,Rule-consistent known chemical class,Yes
Amine,Unknown,Low,Medium,Medium,0.49,Novel,Predicted theoretical compound,No
Aromatic Ring+Ketone,Unknown,Low,Low,High,0.55,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Medium,Medium,0.79,Seen,Rule-consistent known chemical class,Yes
Alcohol+Amide+Nitrile,Unknown,Medium,High,High,0.56,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Medium,Medium,0.79,Seen,Rule-consistent known chemical class,Yes
Sulfonamide,Unknown,Medium,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Amine,Unknown,Medium,Low,Medium,0.5,Novel,Predicted theoretical compound,No
Alkene+Ether+Thiol,Unknown,Medium,Low,Medium,0.61,Novel,Predicted theoretical compound,No
Ester,Unknown,Medium,Medium,Medium,0.5,Novel,Predicted theoretical compound,No
Amide+Nitro,Unknown,High,High,High,0.41,Novel,Predicted theoretical compound,No
Ether+Ketone+Phenol,Unknown,Medium,Low,Medium,0.48,Novel,Predicted theoretical compound,No
Alkyne+Phenol,Unknown,Medium,Low,Medium,0.49,Novel,Predicted theoretical compound,No
Alkyne,Alkyne,Low,Medium,Medium,0.87,Seen,Rule-consistent known chemical class,Yes
Sulfide,Sulfide Compound,Medium,Low,Medium,0.94,Seen,Rule-consistent known chemical class,Yes
Aldehyde,Unknown,Medium,Low,Medium,0.47,Novel,Predicted theoretical compound,No
Amine+Sulfide,Unknown,Medium,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Aromatic Ring+Ester+Nitrile,Unknown,Medium,Low,High,0.58,Novel,Predicted theoretical compound,No
Aldehyde+Aromatic Ring+Thiol,Unknown,Medium,Low,High,0.57,Novel,Predicted theoretical compound,No
Amide+Amine+Carboxylic Acid,Unknown,Low,High,High,0.52,Novel,Predicted theoretical compound,No
Alcohol+Nitro+Thiol,Unknown,Medium,Low,Medium,0.68,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Medium,Medium,0.89,Seen,Rule-consistent known chemical class,Yes
Heterocycle+Nitro,Unknown,High,Low,Medium,0.63,Novel,Predicted theoretical compound,No
Acid Chloride+Amine,Unknown,Low,Low,Low,0.51,Novel,Predicted theoretical compound,No
Amide+Nitro,Unknown,High,Low,High,0.45,Novel,Predicted theoretical compound,No
Sulfonamide,Unknown,Low,Low,Medium,0.53,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Medium,Medium,0.67,Novel,Predicted theoretical compound,No
Aromatic Ring+Sulfide,Unknown,Medium,Low,High,0.65,Novel,Predicted theoretical compound,No
Alkene+Amine+Phenol,Unknown,Medium,Low,Medium,0.54,Novel,Predicted theoretical compound,No
Halide+Sulfonamide,Unknown,High,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Low,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Alcohol,Ether,Medium,Medium,Medium,0.95,Seen,Rule-consistent known chemical class,Yes
Carboxylic Acid+Ketone+Phenol,Unknown,Low,High,Medium,0.47,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Low,Medium,Medium,0.78,Seen,Rule-consistent known chemical class,Yes
Alkene+Nitro,Unknown,High,Low,Medium,0.68,Novel,Predicted theoretical compound,No
Aldehyde+Alkyne,Unknown,Low,Low,Medium,0.49,Novel,Predicted theoretical compound,No
Alcohol+Ester+Nitro,Unknown,High,Low,Medium,0.62,Novel,Predicted theoretical compound,No
Aromatic Ring+Ether,Unknown,Medium,Low,High,0.65,Novel,Predicted theoretical compound,No
Nitro+Sulfide,Unknown,High,Low,Medium,0.61,Novel,Predicted theoretical compound,No
Ester+Halide+Sulfide,Unknown,High,Medium,Medium,0.55,Novel,Predicted theoretical compound,No
Phenol,Phenol,Low,Low,Medium,0.91,Seen,Rule-consistent known chemical class,Yes
Heterocycle+Phenol,Unknown,Low,Medium,Medium,0.52,Novel,Predicted theoretical compound,No
Carboxylic Acid+Nitro+Sulfonamide,Unknown,High,Low,Medium,0.53,Novel,Predicted theoretical compound,No
Alcohol+Aromatic Ring+Thiol,Unknown,Medium,Low,High,0.67,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Low,Medium,Medium,0.83,Seen,Rule-consistent known chemical class,Yes
Amine+Heterocycle+Sulfonamide,Unknown,Low,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Carboxylic Acid+Halide+Nitrile,Unknown,Medium,High,Medium,0.55,Novel,Predicted theoretical compound,No
Alkyne+Nitrile+Sulfide,Unknown,Medium,Medium,Medium,0.53,Novel,Predicted theoretical compound,No
Amide+Sulfonamide,Unknown,Medium,High,High,0.6,Novel,Predicted theoretical compound,No
Amine,Unknown,Medium,Medium,Medium,0.47,Novel,Predicted theoretical compound,No
Alkene+Ether,Unknown,Medium,Medium,Medium,0.58,Novel,Predicted theoretical compound,No
Alcohol+Sulfide,Unknown,Medium,Medium,Medium,0.46,Novel,Predicted theoretical compound,No
Alkene+Amine+Thiol,Unknown,Medium,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Acid Chloride+Amine+Halide,Unknown,High,Medium,Low,0.41,Novel,Predicted theoretical compound,No
Alcohol+Sulfonamide,Unknown,Low,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Aldehyde+Aromatic Ring+Sulfide,Unknown,Medium,Low,High,0.57,Novel,Predicted theoretical compound,No
Acid Chloride+Amine,Unknown,Medium,Low,Low,0.63,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Low,Low,High,0.77,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring,Aromatic Compound,Medium,Low,High,0.8,Seen,Rule-consistent known chemical class,Yes
Acid Chloride+Thiol,Unknown,Medium,Low,Low,0.41,Novel,Predicted theoretical compound,No
Aldehyde,Unknown,Low,Low,Medium,0.42,Novel,Predicted theoretical compound,No
Alcohol+Amine,Amide,Medium,High,High,0.88,Seen,Rule-consistent known chemical class,Yes
Halide+Heterocycle+Thiol,Unknown,Medium,Low,Medium,0.67,Novel,Predicted theoretical compound,No
Aldehyde,Unknown,Medium,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Aldehyde+Carboxylic Acid+Halide,Unknown,High,High,Medium,0.44,Novel,Predicted theoretical compound,No
Acid Chloride+Amine,Unknown,Medium,Low,Low,0.44,Novel,Predicted theoretical compound,No
Aromatic Ring+Ester+Ether,Unknown,Medium,Low,High,0.53,Novel,Predicted theoretical compound,No
Alkene+Amide+Ester,Unknown,Medium,High,High,0.44,Novel,Predicted theoretical compound,No
Aldehyde+Ether,Unknown,Low,Low,Medium,0.44,Novel,Predicted theoretical compound,No
Alkene+Amide,Unknown,Low,High,High,0.41,Novel,Predicted theoretical compound,No
Aldehyde+Aromatic Ring+Sulfonamide,Unknown,Low,Low,High,0.4,Novel,Predicted theoretical compound,No
Alkene+Halide+Phenol,Unknown,High,Medium,Medium,0.52,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Low,Medium,0.81,Seen,Rule-consistent known chemical class,Yes
Halide,Unknown,High,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Aromatic Ring+Ketone,Unknown,Medium,Low,High,0.44,Novel,Predicted theoretical compound,No
Heterocycle+Nitro+Phenol,Unknown,High,Low,Medium,0.64,Novel,Predicted theoretical compound,No
Acid Chloride+Amine+Halide,Unknown,High,Low,Low,0.7,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Low,Low,High,0.78,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring+Nitrile,Unknown,Medium,Low,High,0.63,Novel,Predicted theoretical compound,No
Aromatic Ring+Halide+Thiol,Unknown,Medium,Low,High,0.44,Novel,Predicted theoretical compound,No
Heterocycle+Sulfide+Thiol,Unknown,Medium,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Alkyne+Ether+Phenol,Unknown,Medium,Low,Medium,0.5,Novel,Predicted theoretical compound,No
Sulfonamide,Unknown,Medium,Low,Medium,0.5,Novel,Predicted theoretical compound,No
Acid Chloride+Ether,Unknown,Medium,Low,Low,0.44,Novel,Predicted theoretical compound,No
Amine+Halide+Heterocycle,Unknown,High,Medium,Medium,0.4,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Medium,Low,Low,0.83,Seen,Rule-consistent known chemical class,Yes
Halide+Ketone,Unknown,High,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Acid Chloride+Ester,Unknown,Medium,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Aldehyde+Carboxylic Acid,Unknown,Medium,High,Medium,0.6,Novel,Predicted theoretical compound,No
Acid Chloride+Aldehyde+Heterocycle,Unknown,Low,Low,Low,0.54,Novel,Predicted theoretical compound,No
Ester,Unknown,Low,Medium,Medium,0.53,Novel,Predicted theoretical compound,No
Amine+Nitrile,Unknown,Medium,Medium,Medium,0.48,Novel,Predicted theoretical compound,No
Alcohol+Alkene,Unknown,Low,Low,Medium,0.57,Novel,Predicted theoretical compound,No
Alkene+Ketone+Sulfide,Unknown,Medium,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Ester,Unknown,Low,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Acid Chloride+Amine+Halide,Unknown,High,Medium,Low,0.53,Novel,Predicted theoretical compound,No
Amine,Unknown,Medium,Medium,Medium,0.59,Novel,Predicted theoretical compound,No
Halide,Unknown,High,Medium,Medium,0.6,Novel,Predicted theoretical compound,No
Amine+Aromatic Ring,Unknown,Medium,Low,High,0.59,Novel,Predicted theoretical compound,No
Ester+Ketone+Phenol,Unknown,Low,Medium,Medium,0.49,Novel,Predicted theoretical compound,No
Aldehyde+Halide+Sulfide,Unknown,Medium,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Alkyne+Halide+Nitro,Unknown,High,Low,Medium,0.63,Novel,Predicted theoretical compound,No
Alkene,Alkene,Medium,Low,Medium,0.81,Seen,Rule-consistent known chemical class,Yes
Sulfonamide,Unknown,Medium,Medium,Medium,0.63,Novel,Predicted theoretical compound,No
Alkene+Halide,Unknown,High,Medium,Medium,0.67,Novel,Predicted theoretical compound,No
Amide+Nitro,Unknown,High,Low,High,0.65,Novel,Predicted theoretical compound,No
Amide,Unknown,Medium,High,High,0.55,Novel,Predicted theoretical compound,No
Alcohol+Alkyne+Heterocycle,Unknown,Low,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Amide+Heterocycle,Unknown,Low,High,High,0.54,Novel,Predicted theoretical compound,No
Nitrile+Thiol,Unknown,Medium,Medium,Medium,0.46,Novel,Predicted theoretical compound,No
Ketone,Unknown,Medium,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Alkene+Nitro,Unknown,High,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Alkene+Ketone,Unknown,Medium,Medium,Medium,0.64,Novel,Predicted theoretical compound,No
Amine+Nitrile+Phenol,Unknown,Medium,Medium,Medium,0.55,Novel,Predicted theoretical compound,No
Carboxylic Acid+Heterocycle+Thiol,Unknown,Medium,High,Medium,0.62,Novel,Predicted theoretical compound,No
Alcohol+Alkene+Nitro,Unknown,High,Low,Medium,0.69,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.67,Novel,Predicted theoretical compound,No
Amide+Ketone,Unknown,Medium,High,High,0.51,Novel,Predicted theoretical compound,No
